iter	RMSE
0	555532042.6
1	541646969.4
2	528140777.7
3	519786491.3
4	510291425.3
5	497589838.8
6	497367657.1
7	497148517.1
8	484788208.4
9	483268724.2
10	483137546.5
11	483040808
12	482938754.5
13	478532603.4
14	478430608
15	478318220.1
16	470770220.3
17	470698418.3
18	470609130.4
19	470543776.2
20	470484719
21	458760841.4
22	458710618.9
23	458431934.7
24	447033495.5
25	445956701.8
26	445893987.7
27	441991196
28	441827633.3
29	441758811.5
30	441716478.3
31	439584045.3
32	439565482.1
33	432341002.4
34	432328643.4
35	432286855.1
36	421647721.5
37	411275591.3
38	408711564.1
39	398725205.1
40	398088308.6
41	398069367.1
42	398043039.5
43	397983802.2
44	397951632.7
45	397943955.2
46	397929080.4
47	390784877.1
48	390715807.4
49	390698015.9
50	390679394.3
51	390613139.4
52	387538462.4
53	387533407.2
54	386762487
55	386649582.7
56	377273663.5
57	377265286.4
58	377253098.6
59	377060154.7
60	371702777.7
61	371556064.8
62	362663627.6
63	359400448
64	353829409.7
65	353818971.5
66	351199723.1
67	348591747
68	347283748.9
69	341125868.5
70	341112897.6
71	336412303.1
72	336392082.4
